Combo_Index,Optimizer,Hyperparameters,Best_Train_Loss,Best_Test_Loss,Best_Train_Accuracy,Best_Test_Accuracy,Wallclock_Sec
1,sgd_,"{""learning_rate"": 0.003, ""momentum"": 0.3}",0.2787369041431545,0.3644274505121367,95.41492820977297,90.36697247706422,988.827171087265
2,sgd_,"{""learning_rate"": 0.003, ""momentum"": 0.6}",0.26052333435083513,0.36245511897972654,96.61019465767866,89.90825688073394,988.8748137950897
3,sgd_,"{""learning_rate"": 0.003, ""momentum"": 0.9}",0.2308065619222342,0.3638630786112377,98.35038382158606,90.13761467889908,990.232727766037
4,sgd_,"{""learning_rate"": 0.0003, ""momentum"": 0.3}",0.3745059507618041,0.39149877216134754,88.95158057283702,86.92660550458716,981.4854199886322
5,sgd_,"{""learning_rate"": 0.0003, ""momentum"": 0.6}",0.35042194954856276,0.3761874501194273,90.55071344786114,87.95871559633028,990.8678562641144
6,sgd_,"{""learning_rate"": 0.0003, ""momentum"": 0.9}",0.291996602186681,0.3566525929740497,94.63095220419011,90.59633027522936,982.4961776733398
7,sgd_,"{""learning_rate"": 3e-05, ""momentum"": 0.3}",0.6796634672656479,0.6881920503718513,56.17603824852633,50.91743119266055,982.890777349472
8,sgd_,"{""learning_rate"": 3e-05, ""momentum"": 0.6}",0.650993571315412,0.6570586902754647,64.7225645518122,58.027522935779814,984.600340127945
9,sgd_,"{""learning_rate"": 3e-05, ""momentum"": 0.9}",0.3845436836718947,0.40276224804776056,88.23739031017536,86.35321100917432,978.746443271637
10,sgd_,"{""learning_rate"": 3e-06, ""momentum"": 0.3}",0.6889832330712796,0.6965112622295108,55.55390577439903,50.91743119266055,977.2544207572937
11,sgd_,"{""learning_rate"": 3e-06, ""momentum"": 0.6}",0.6921280389443712,0.69324477655547,52.57984528352314,51.14678899082569,980.3721632957458
12,sgd_,"{""learning_rate"": 3e-06, ""momentum"": 0.9}",0.6836731046792164,0.6917046968426023,56.01419471707078,50.91743119266055,979.5249063968658
